# CJK Vocabulary Breakdown
# Total: 1565 tokens
# Generated from IDS decomposition database

## shared_base (4 tokens) — ASCII printable
0020	' '
722D	爭	⿱爫&CDP-8BFE;
7231	爱	⿱&CDP-8BB8;友
723D	爽	&U-i001+2FFB;大㸚
723E	爾	⿱一&CDP-88D6;
727D	牽	⿱&CDP-89FE;牛
7280	犀	⿸尸&CDP-8D6F;
7388	玈	⿰玄&CDP-8D55;
73ED	班	⿴玨&CDP-8BEA;
7464	瑤	⿰𤣩&JX2-7461;
74BA	璺	⿱⿶&CDP-8B64;同玉
750D	甍	⿱&CDP-8D60;瓦
751A	甚	⿱&CDP-88C8;匹
7522	產	⿱文&CDP-8C45;
7529	甩	⿵冂&CDP-8A43;
754F	畏	⿳田一&CDP-8CC6;
7559	留	⿱&CDP-8C69;田
755A	畚	⿱&GT-K01085;田
755E	畞	&U-i001+2FF1;十畂
755F	畟	⿳田&GT-K00059;夂
7571	畱	⿱&CDP-89B6;田
757F	畿	⿹&CDP-8BA4;田
7582	疂	⿱⿱田&CDP-89AE;冝
7586	疆	⿰&CDP-8DB8;畺
7588	疈	⿴㽬&CDP-8BEA;
7591	疑	⿰𠤕&CDP-8CCE;
767A	発	⿱癶&CDP-89FD;
768D	皍	⿱白⿰&CDP-895F;卩
76CA	益	⿱&CDP-8CF0;皿
76E3	監	⿱&CDP-8CC9;皿
76F4	直	⿱十&CDP-8BA5;
770C	県	⿱⿺𠃊目&CDP-8665;
7714	眔	⿱⺫&CDP-8C41;
771E	眞	⿳匕⿺目𠃊&GT-K00059;
7742	睂	⿸&GT-K03520;目
7758	睘	⿱⺫&GT-K04958;
777F	睿	⿱&GT-K01554;⿱&GT-K00859;目
77A2	瞢	⿱&CDP-8D60;目
782F	砯	⿰石&CDP-8AEF;
7963	祣	⿰示&CDP-8D55;
796D	祭	⿱&CDP-8C4F;示
7A40	穀	⿰&CDP-8D78;殳
7AC3	竃	⿱穴⿱土&CDP-89BD;
7ACA	竊	⿱穴⿰釆&CDP-8ACE;
7AD2	竒	⿱&CDP-8BAE;可
7ADC	竜	⿱立&CDP-8BE8;
7CA4	粤	⿱⿴&CDP-8CC8;米丂
7CB1	粱	⿱&CDP-8DBC;米
7CB5	粵	⿰&GT-K07616;亏
7D55	絕	⿰糸&CDP-8CEA;
7DC3	緃	⿰糸&CDP-8BB0;
7E04	縄	⿰糸&CDP-89BD;
7E23	縣	⿰&CDP-8C6D;系
7F7D	罽	⿱罒&CDP-8AD6;
7FAE	羮	⿱羔&GT-K01352;
7FB2	羲	⿱𦍌&CDP-8DBA;
7FE4	翤	⿰&CDP-8DBB;羽
8074	聴	⿰耳&HD-TK-01032130;
807C	聼	⿰&CDP-8C5B;𢛳
807D	聽	⿰&CDP-8BD1;𢛳
8083	肃	&U-i001+2FF1;聿⿴&CDP-8BF5;八
8085	肅	&U-i001+2FF1;聿𣶒
808E	肎	⿱冖&CDP-8958;
8093	肓	⿱亡&CDP-8958;
8096	肖	⿱⺌&CDP-8958;
8099	肙	⿱口&CDP-8958;
80A9	肩	⿸户&CDP-8958;
80AF	肯	⿱止&CDP-8958;
80B2	育	⿳亠厶&CDP-8958;
80BB	肻	⿱&GT-K00877;&CDP-8958;
80BE	肾	⿱𰀡&CDP-8958;
80C3	胃	⿱田&CDP-8958;
80C4	胄	⿱由&CDP-8958;
80CC	背	⿱北&CDP-8958;
80E4	胤	⿴儿⿱幺&CDP-8958;
80E5	胥	⿱疋&CDP-8958;
80F7	胷	⿱匈&CDP-8958;
8100	脀	⿱丞&CDP-8958;
8105	脅	⿱劦&CDP-8958;
810A	脊	⿱&CDP-88D2;&CDP-8958;
810B	脋	⿱刕&CDP-8958;
8123	脣	⿸辰&CDP-8958;
8129	脩	⿸攸&CDP-8958;
814E	腎	⿱臤&CDP-8958;
8182	膂	⿱旅&CDP-8958;
818B	膋	⿱𤇾&CDP-8958;
818F	膏	⿱高&CDP-8958;
81BA	膺	⿸䧹&CDP-8958;
81C0	臀	⿱殿&CDP-8958;
81C2	臂	⿱辟&CDP-8958;
81D6	臖	⿱興&CDP-8958;
81E6	臦	⿰&CDP-8AF2;臣
81E8	臨	⿰臣&CDP-8CFD;
81FE	臾	&U-i001+2FFB;人𦥑
8203	舃	⿱臼&CDP-8DBF;
8204	舄	⿱臼&CDP-8C40;
8206	舆	⿶&CDP-8BA8;车
8207	與	⿶&CDP-8BA8;&CDP-8BC2;
8208	興	⿶&CDP-8BA8;同
820B	舋	⿱⿶&CDP-8B64;同且
820F	舏	⿰舌&CDP-88B6;
821C	舜	⿱&CDP-8BB8;舛
821E	舞	⿱&CDP-8BBE;舛
82BB	芻	⿱&CDP-8D65;&CDP-8D65;
8330	茰	⿱艹&CDP-89E7;
83EB	菫	⿱艹⿱一&CDP-8A6D;
83EF	華	⿱艹&CDP-8BF8;
8550	蕐	⿳艹一&CDP-85A1;
858E	薎	⿱&CDP-8D60;伐
85A8	薨	⿱&A-CDP-8D60;死
8604	蘄	⿱艹&U-i002+7948;
8609	蘉	⿱&A-CDP-8D60;侵
8641	虁	⿱&U-i001+2FFB;鿓⿰止巳夂
865B	虛	⿸虍&CDP-8D6B;
8661	虡	⿸虚&GT-K00059;
877F	蝿	⿰虫&CDP-89BD;
8870	衰	⿴衣&CDP-89EF;
8885	袅	⿹&CDP-8964;衣
88CA	裊	⿱&CDP-8CBB;衣
88E6	裦	⿴衣⿰&CDP-8CAC;矛
890E	褎	⿴衣⿰&CDP-8CAC;禾
890F	褏	⿴衣⿰&CDP-8CAC;由
8943	襃	⿴衣⿰&CDP-8CAC;呆
8944	襄	⿴衣&CDP-8CA3;
89A7	覧	⿱&CDP-8CC9;見
89BD	覽	⿱&CDP-8D50;見
8A67	詧	⿱&CDP-8C4F;言
8A79	詹	⿸厃&CDP-8CC3;
8B20	謠	⿰言&JX2-7461;
8B45	譅	⿰言&JSP-457C;
8B7C	譼	⿱&CDP-8D50;言
8C4B	豋	⿱&CDP-8C4F;豆
8C59	豙	⿱&CDP-8BAE;豕
8C61	象	⿱&GT-K02380;𧰨
8CAE	貮	⿹&CDP-8CB8;貝
8CB5	貵	⿱&GT-K01085;貝
8CBF	貿	⿱&CDP-8C69;貝
8CD3	賓	⿱&CDP-8D74;貝
8CEB	賫	⿱⿱&CDP-8DE9;冖貝
8CF7	賷	⿱&GT-K07262;貝
8D38	贸	⿱&CDP-8C69;贝
8D4D	赍	⿱⿱&CDP-8DE9;冖贝
8D71	赱	⿱土&CDP-8961;
8E28	踨	⿰𧾷&CDP-8BB0;
8EE3	軣	⿱車&CDP-89AE;
8EEC	軬	⿱&GT-K01085;車
8F3F	輿	⿶&CDP-8BA8;車
8F61	轡	&U-i002+2FF1;絲軎
8FA8	辨	⿴辡&CDP-8BEA;
9030	逰	⿺辶⿰扌&CDP-8C55;
903A	逺	⿺⻌⿱土&CDP-8845;
9040	遀	⿺辶&CDP-8CA9;
9059	遙	⿺⻌&JX2-7461;
90A3	那	⿰&CDP-89FA;⻏
90F7	郷	⿴𨙵&CDP-8B7C;
9109	鄉	⿴𨙵&CDP-8C42;
9173	酳	⿰酉⿱幺&CDP-865E;
91C1	釁	⿱⿶&CDP-8B64;同⿱酉分
91DC	釜	⿱父&CDP-8DE3;
91E1	釡	⿰&GT-K00059;金
9253	鉓	⿰金&CDP-8DB3;
92C4	鋄	⿰金&CDP-8AB9;
9373	鍳	⿱&CDP-8CC9;金
93AB	鎫	⿰金⿳⿱丿罓&GT-K00059;夂
9421	鐡	⿰金⿹𢦏&GT-K01888;
9452	鑒	⿱&CDP-8D50;金
9459	鑙	⿰金&U-v001+2585E;
9665	陥	⿰⻖&GT-K03318;
9689	隉	⿰⻖&CDP-8DB4;
968B	隋	⿰⻖&CDP-8CA9;
96B7	隷	⿰&CDP-8C6A;隶
96CB	雋	⿱隹&CDP-8DDF;
96FB	電	⿱雨&CDP-8BE8;
97F2	韲	⿱&CDP-8DEB;韭
9803	頃	⿰&CDP-895F;頁
9877	顷	⿰&CDP-895F;页
98E0	飠	⿱亽&CDP-8B7C;
9970	饰	⿰饣&CDP-8DB3;
9B0C	鬌	⿱髟&CDP-8CA9;
9B1B	鬛	⿱髟⿱龱&CDP-8D46;
9B30	鬰	⿱&U-i002+2FF1;林⿱爻冖⿰鬯彡
9B31	鬱	⿱&U-i002+2FF1;林⿱缶冖⿰鬯彡
9BD7	鯗	⿱&GT-K03457;魚
9C16	鰖	⿰魚&CDP-8CA9;
9CE5	鳥	⿹&CDP-8CBB;灬
9CEC	鳬	⿱&CDP-8CBB;几
9CF3	鳳	⿵几&CDP-8DCD;
9D56	鵖	⿰&CDP-8B7C;鳥
9DF0	鷰	⿱⿱廿&CDP-8D76;鳥
9E1F	鸟	⿹&CDP-8964;一
9EA5	麥	⿱來&GT-K00207;
9F09	鼉	⿱&CDP-8DAE;黽
9F0D	鼍	⿱&CDP-8DAE;黾
9F0E	鼎	⿶&CDP-89EE;目
9F4A	齊	⿱&CDP-8DEB;&CDP-89C6;

## extension_a (8 tokens) — CJK Extension A (not in IDS)
340C	㐌
3479	㑹
35C1	㗁
39E3	㧣
3A98	㪘
3CCD	㳍
3E74	㹴
4598	䖘

## operators (13 tokens) — IDS structure operators
2FF0	⿰	left-right
2FF1	⿱	top-bottom
2FF2	⿲	left-center-right
2FF3	⿳	top-middle-bottom
2FF4	⿴	surround
2FF5	⿵	surround-top
2FF6	⿶	surround-bottom
2FF7	⿷	surround-left
2FF8	⿸	surround-upper-left
2FF9	⿹	surround-upper-right
2FFA	⿺	surround-lower-left
2FFB	⿻	overlaid
2FFD	⿽	overlaid-extended
