char	slot	match	score
蛙	0	封	0.9611
晦	0	雖	0.9634
晰	0	湘	0.9664
榊	0	神	0.9750
擠	0	齊	0.9673
綁	0	紙	0.9664
厲	0	属	0.9817
斡	0	幹	0.9811
锐	1	鋭	0.9725
癸	0	発	0.9700
諷	0	凱	0.9592
黔	0	驗	0.9650
龟	0	鱼	0.9681
鎧	0	鑑	0.9680
姪	1	婦	0.9703
嘲	0	朝	0.9590
肠	0	腕	0.9713
鹅	0	艘	0.9671
祁	0	郊	0.9718
钠	0	钟	0.9733
碗	0	婉	0.9765
鰭	1	縛	0.9689
呢	0	尼	0.9659
廚	2	尉	0.9617
竿	0	翠	0.9702
墅	0	撞	0.9639
萍	1	转	0.9752
鈾	0	針	0.9712
窯	0	窪	0.9623
嘱	0	騙	0.9713
磡	0	臟	0.9613
馨	0	聲	0.9740
僱	1	偏	0.9778
瀨	0	瀬	0.9886
虔	1	虚	0.9642
賑	0	跟	0.9683
硅	0	辖	0.9683
胖	0	胜	0.9695
洩	0	浙	0.9708
濾	0	慮	0.9624
滇	0	漬	0.9808
矶	0	机	0.9635
苛	0	帯	0.9642
哇	0	時	0.9616
铝	0	错	0.9755
繳	0	激	0.9693
诊	0	珍	0.9742
狸	0	獨	0.9715
俞	0	命	0.9802
屢	0	廈	0.9545
谦	0	嫌	0.9753
曙	0	賭	0.9742
爸	0	色	0.9435
羚	0	涂	0.9645
臥	0	駄	0.9439
淆	0	希	0.9697
皓	0	酷	0.9738
廓	0	廊	0.9680
榆	0	檢	0.9782
犁	1	穫	0.9651
鞘	0	韓	0.9738
巩	0	汎	0.9609
拋	0	勘	0.9617
痺	0	庫	0.9699
岑	0	荃	0.9527
樊	0	染	0.9713
闪	0	闭	0.9655
籲	0	舒	0.9660
谭	0	潭	0.9765
鞏	1	輩	0.9676
俸	0	棒	0.9774
萱	0	宣	0.9707
乒	0	兵	0.9836
脹	0	服	0.9641
郝	0	邪	0.9689
爛	0	欄	0.9700
肚	0	壯	0.9709
柚	0	袖	0.9785
瀏	0	劉	0.9680
慨	0	概	0.9818
柑	0	柏	0.9730
夹	0	来	0.9754
羲	0	義	0.9785
滙	0	偶	0.9652
鑄	0	鐘	0.9614
拷	0	裝	0.9711
闲	1	闭	0.9721
饒	0	鐵	0.9683
幢	1	禮	0.9649
孜	0	牧	0.9681
濯	0	灌	0.9731
渾	0	溥	0.9807
悅	0	稅	0.9651
茉	0	荣	0.9844
晒	0	襾	0.9668
鎊	0	鏡	0.9561
疼	0	泰	0.9653
喊	0	碱	0.9714
葺	0	韋	0.9687
痘	0	症	0.9700
荼	0	茶	0.9889
筐	0	管	0.9687
聊	0	卿	0.9682
釀	0	醸	0.9826
閻	0	閱	0.9784
弔	0	甲	0.9592
璽	0	彌	0.9351
祺	0	棋	0.9808
釘	0	銃	0.9715
毓	1	銃	0.9607
舅	0	晃	0.9536
謠	1	證	0.9611
娥	0	我	0.9764
竺	0	笠	0.9642
垃	1	拉	0.9831
塢	0	揚	0.9695
醬	1	醫	0.9715
圾	0	扱	0.9852
怠	0	总	0.9551
榛	1	棒	0.9881
敲	0	鼓	0.9688
麿	0	曆	0.9756
罐	0	駐	0.9633
删	0	脚	0.9666
谐	0	谱	0.9683
濠	0	湯	0.9677
絆	0	緒	0.9673
贷	0	货	0.9803
埴	0	埠	0.9791
樑	1	稼	0.9744
蚊	0	政	0.9681
槃	0	架	0.9682
鶯	1	鷲	0.9729
晏	0	宴	0.9715
磅	0	碳	0.9689
窑	0	离	0.9623
聂	0	裏	0.9653
婁	0	妻	0.9783
谁	0	堆	0.9784
赔	0	赠	0.9709
胀	0	张	0.9639
俯	0	你	0.9647
侦	0	倾	0.9631
砍	1	欣	0.9739
蔗	0	庶	0.9692
渣	0	查	0.9637
閤	0	閣	0.9696
窃	0	窮	0.9600
纜	1	繊	0.9595
敕	0	救	0.9823
婴	0	嬰	0.9515
畴	1	麺	0.9699
鹼	0	齡	0.9787
鈍	1	針	0.9730
泗	0	酒	0.9733
谥	0	益	0.9657
仄	1	从	0.9595
喩	0	瑜	0.9636
矯	0	短	0.9700
鐸	1	錦	0.9768
剃	0	荆	0.9720
悖	0	悼	0.9744
珪	0	挂	0.9812
谊	0	谓	0.9690
锅	0	锦	0.9755
瑙	0	裁	0.9624
凄	0	棲	0.9628
醛	0	播	0.9664
贖	0	蹟	0.9721
戮	1	遊	0.9478
慾	0	感	0.9677
冪	0	墨	0.9663
嫉	0	嫁	0.9784
闸	1	幅	0.9673
疹	1	珍	0.9519
浚	0	俊	0.9688
粥	0	赖	0.9646
琅	0	职	0.9663
鲸	0	鯨	0.9772
耿	0	助	0.9529
蕩	0	鴻	0.9679
雯	0	襄	0.9540
蟻	0	隷	0.9670
蠻	0	鑽	0.9489
颈	0	预	0.9739
艷	1	鴨	0.9480
萎	0	委	0.9662
謳	0	驅	0.9505
甄	0	闻	0.9653
抬	0	治	0.9670
碘	0	碑	0.9654
糟	0	槽	0.9830
肘	0	肝	0.9730
麹	0	逸	0.9612
嗎	1	鳴	0.9612
咽	0	和	0.9701
娅	1	碰	0.9601
樫	0	榴	0.9731
缔	0	締	0.9761
蚕	0	蛋	0.9649
狛	0	猎	0.9712
眷	0	春	0.9804
闢	0	闘	0.9782
繹	2	縛	0.9778
抒	0	桁	0.9673
墩	0	敦	0.9701
窺	1	窮	0.9634
剝	0	祿	0.9786
憾	0	陵	0.9516
雉	0	稚	0.9827
屑	2	層	0.9813
瘋	0	痛	0.9506
帜	0	惊	0.9553
喘	0	瑞	0.9718
垒	0	塗	0.9556
襟	0	橙	0.9701
靡	0	魔	0.9552
貰	0	貴	0.9826
墮	1	望	0.9520
忧	0	枕	0.9662
咨	0	盗	0.9728
宍	0	六	0.9660
巌	1	厳	0.9760
欖	0	綱	0.9624
舖	2	舗	0.9914
酿	2	麺	0.9667
您	0	綜	0.9650
兀	0	万	0.9580
苍	1	茶	0.9461
笙	0	等	0.9695
蒜	0	藻	0.9704
刹	0	剂	0.9664
搾	0	窄	0.9774
衞	1	衛	0.9863
玖	0	坎	0.9707
兇	0	贤	0.9633
諒	1	詩	0.9707
畅	0	暢	0.9681
滤	0	虑	0.9653
漱	0	软	0.9726
邯	0	郡	0.9720
鬧	1	闘	0.9642
禱	0	擔	0.9632
窦	1	義	0.9564
瘦	0	澳	0.9602
榕	0	喀	0.9728
樸	0	糕	0.9752
纠	0	糾	0.9703
愤	0	惯	0.9709
抛	1	勘	0.9598
沂	0	沪	0.9791
喋	0	蝶	0.9798
桟	0	挨	0.9615
骚	1	騒	0.9666
裳	0	棠	0.9713
渴	0	漫	0.9726
篡	0	纂	0.9728
兌	0	免	0.9450
崑	0	葛	0.9665
蝴	1	醐	0.9794
噛	0	歯	0.9638
孵	0	郷	0.9669
瑶	0	揺	0.9843
匣	0	围	0.9660
幟	0	峻	0.9594
缀	0	綴	0.9834
乓	1	兵	0.9790
煥	1	烯	0.9745
肤	0	肢	0.9709
摔	1	捧	0.9647
鈔	0	銚	0.9611
漲	0	張	0.9782
贛	0	讃	0.9615
篆	0	象	0.9697
莖	0	墓	0.9681
忒	0	武	0.9360
髓	0	髄	0.9647
霄	0	尋	0.9693
侗	0	伺	0.9800
饥	0	彻	0.9683
挝	0	挥	0.9726
漕	1	潭	0.9813
辿	0	迪	0.9663
隘	0	陷	0.9625
霹	0	靈	0.9691
芜	0	芳	0.9632
丟	0	長	0.9611
卧	0	时	0.9638
呆	0	宋	0.9789
綽	1	綿	0.9748
誦	0	謂	0.9705
淪	0	倫	0.9730
犧	0	犠	0.9776
阀	2	闭	0.9655
佬	0	传	0.9693
厉	0	历	0.9788
繕	1	締	0.9764
櫛	1	概	0.9715
遁	0	遍	0.9706
吋	1	时	0.9716
栋	0	称	0.9774
咎	0	啓	0.9683
倖	0	侍	0.9778
诱	0	添	0.9716
譴	1	龍	0.9631
娄	1	委	0.9541
罠	0	畏	0.9696
鈞	0	釣	0.9897
浑	0	滨	0.9723
撐	1	挥	0.9715
瓣	0	辦	0.9612
棱	0	稜	0.9765
糠	0	糖	0.9760
阎	0	阅	0.9635
瀋	0	潘	0.9803
磚	0	傳	0.9713
擒	1	瑜	0.9707
氦	0	氢	0.9756
綏	0	綬	0.9803
鸞	2	鷲	0.9616
壕	0	燕	0.9606
砺	0	殉	0.9580
瑾	1	撞	0.9802
閔	0	関	0.9793
闡	0	閏	0.9729
糞	0	拳	0.9661
讽	1	观	0.9684
粕	1	柏	0.9808
舆	0	與	0.9811
颂	0	领	0.9678
掴	0	堀	0.9654
盎	0	盘	0.9712
薨	0	蘋	0.9706
菁	0	菩	0.9724
辈	2	輩	0.9764
溉	1	淑	0.9738
哩	0	埋	0.9699
苷	0	堪	0.9624
鯊	0	驚	0.9614
嬪	0	濱	0.9803
阐	0	阔	0.9670
沁	0	心	0.9585
羞	0	差	0.9648
嚢	0	囊	0.9710
氾	0	犯	0.9631
瞻	0	暖	0.9562
謁	0	韶	0.9644
吁	0	扣	0.9629
箏	1	等	0.9722
訛	0	靴	0.9550
饉	2	撞	0.9651
滸	0	海	0.9681
祸	0	禄	0.9735
竇	0	賈	0.9682
坠	0	坚	0.9425
憐	1	傑	0.9676
牺	0	栖	0.9763
宠	0	庞	0.9744
掀	0	脉	0.9659
鮫	2	銃	0.9646
淞	0	松	0.9682
钾	1	钟	0.9722
酰	0	雅	0.9702
揄	2	瑜	0.9836
揖	0	捐	0.9772
嗅	2	鳴	0.9595
棣	0	様	0.9762
盪	0	驾	0.9522
虏	0	虎	0.9763
斩	1	浙	0.9774
浆	0	奖	0.9692
滲	0	修	0.9614
霆	0	遲	0.9560
僵	0	箇	0.9552
揶	1	郡	0.9712
檐	0	権	0.9691
蚀	0	蝕	0.9717
吠	0	咲	0.9725
窝	0	潜	0.9645
脸	0	验	0.9642
裹	1	裏	0.9708
抨	0	坪	0.9838
聪	0	憩	0.9700
餃	0	统	0.9668
胥	0	唇	0.9648
巽	0	冀	0.9544
虾	1	职	0.9653
瑩	0	營	0.9442
砌	1	彻	0.9718
匾	0	團	0.9524
摸	1	模	0.9734
厢	0	雁	0.9704
贬	0	減	0.9613
鑒	0	堡	0.9636
钧	2	烯	0.9648
绑	1	郷	0.9645
葦	1	韋	0.9773
贪	0	含	0.9695
楯	0	梶	0.9705
醋	1	酷	0.9833
肛	1	肝	0.9572
萃	0	卒	0.9752
謬	0	懿	0.9610
壟	0	寵	0.9673
檬	0	樣	0.9761
驳	0	駁	0.9671
稠	0	樋	0.9697
緋	0	綻	0.9483
礫	0	樂	0.9782
啊	0	酬	0.9601
汾	0	份	0.9725
釐	0	黛	0.9617
渇	0	涅	0.9661
襪	1	糖	0.9664
酎	0	耐	0.9695
琢	0	塚	0.9787
槟	0	棕	0.9790
卤	0	岗	0.9673
婷	2	婦	0.9725
洽	1	涂	0.9765
蚌	0	持	0.9716
俾	0	禅	0.9699
濒	0	频	0.9775
彷	0	仿	0.9733
禺	0	禹	0.9752
呑	1	吞	0.9822
暹	0	遺	0.9677
肿	0	肺	0.9817
脩	0	僚	0.9626
壩	1	購	0.9678
噬	0	継	0.9651
惩	0	综	0.9688
沧	0	仓	0.9650
肋	0	肪	0.9753
倩	1	借	0.9831
劲	0	初	0.9621
躯	0	钢	0.9700
巖	0	嚴	0.9732
钙	0	销	0.9689
驟	0	駿	0.9637
譬	0	臂	0.9678
鉤	1	釣	0.9697
仆	0	化	0.9581
惚	0	隧	0.9498
钻	2	钟	0.9647
捏	0	措	0.9749
滬	1	涯	0.9576
鄒	0	鄰	0.9468
瑤	0	搖	0.9804
绳	0	縄	0.9705
賤	0	戦	0.9663
尧	0	戎	0.9649
苓	2	茶	0.9755
闖	2	闘	0.9687
媚	0	姫	0.9749
楔	1	樣	0.9714
緝	0	絹	0.9752
薰	0	薫	0.9761
冉	0	申	0.9697
瀛	0	贏	0.9672
坞	0	蛇	0.9678
槐	0	槻	0.9758
缸	0	街	0.9609
祂	0	牠	0.9747
裙	0	拓	0.9773
拙	0	描	0.9676
涨	1	张	0.9782
尘	0	半	0.9375
稷	1	稜	0.9804
蠟	0	臘	0.9651
裾	1	拓	0.9673
匂	0	勾	0.9676
甦	1	迪	0.9655
繡	0	繞	0.9680
廬	0	盧	0.9735
弐	1	武	0.9426
濡	0	澤	0.9695
谴	0	遣	0.9709
熾	0	戲	0.9705
菖	0	書	0.9760
邢	0	那	0.9800
酚	0	礎	0.9548
鍊	0	錬	0.9876
氰	2	氧	0.9691
匙	0	起	0.9655
灸	0	炎	0.9690
箸	0	绪	0.9736
翟	1	窄	0.9728
菸	0	萩	0.9647
紘	1	绕	0.9694
陇	0	陽	0.9589
蕊	0	蒸	0.9513
蜥	0	怖	0.9514
鹹	0	戯	0.9670
黜	1	點	0.9672
梱	0	柄	0.9821
颖	0	额	0.9773
骼	1	路	0.9695
矽	0	赦	0.9490
缪	0	參	0.9602
訶	0	詞	0.9700
搏	0	博	0.9839
攔	1	欄	0.9686
怜	0	冷	0.9731
匀	1	勾	0.9677
烃	0	燈	0.9700
紮	0	紫	0.9680
虧	1	濃	0.9630
麾	0	摩	0.9737
碓	0	確	0.9850
禰	1	彌	0.9704
潼	0	滝	0.9670
冻	0	东	0.9753
蕴	2	綿	0.9609
垦	0	屋	0.9651
奘	1	英	0.9757
琛	0	探	0.9771
藪	0	數	0.9738
汞	0	买	0.9592
箔	0	湿	0.9703
丢	0	看	0.9611
戍	1	戊	0.9817
绣	1	缓	0.9717
蘊	2	締	0.9621
谨	3	撞	0.9717
屡	0	履	0.9655
皋	0	桌	0.9688
缴	1	激	0.9752
钓	1	许	0.9685
脾	0	牌	0.9841
沌	0	池	0.9723
滯	0	滞	0.9800
躁	1	操	0.9791
鉾	0	鋒	0.9697
贼	1	減	0.9722
竊	2	謀	0.9711
酱	1	翠	0.9639
卉	0	寺	0.9549
瞄	0	甜	0.9668
缝	0	縫	0.9709
佃	0	価	0.9706
揉	0	粹	0.9756
姨	0	玻	0.9717
饱	1	砲	0.9731
弯	0	脅	0.9546
蛭	4	撞	0.9696
厌	0	庆	0.9767
炬	1	畑	0.9694
磺	0	橫	0.9790
娼	1	姫	0.9740
椰	2	郡	0.9728
牒	0	碟	0.9738
餡	0	館	0.9678
傣	2	傑	0.9687
账	0	财	0.9652
蒐	0	恵	0.9608
拗	0	劫	0.9721
暉	0	瞳	0.9722
骤	0	繫	0.9721
胱	1	勝	0.9720
臧	0	藏	0.9705
榄	0	杨	0.9678
轩	0	祥	0.9730
砥	1	祇	0.9716
侣	0	侶	0.9834
笨	0	築	0.9693
葫	0	萌	0.9771
驰	1	牠	0.9744
笼	0	笑	0.9667
艱	0	魂	0.9697
鞠	0	翻	0.9629
瀾	0	潤	0.9806
祯	2	淑	0.9676
蟬	0	禪	0.9723
飄	1	凱	0.9549
朕	1	咲	0.9681
兎	0	鬼	0.9622
妝	1	放	0.9671
禿	0	秀	0.9705
雾	0	豪	0.9505
骗	0	编	0.9747
逓	0	遅	0.9686
闆	3	闘	0.9779
灼	0	炸	0.9671
祕	0	秘	0.9787
拌	0	特	0.9771
沾	1	浩	0.9689
擱	0	閉	0.9698
妬	3	婦	0.9763
楢	1	栖	0.9775
焕	0	旋	0.9716
怯	0	法	0.9717
咪	0	味	0.9652
攤	0	難	0.9712
垮	1	跨	0.9734
妈	0	婿	0.9700
帛	0	岳	0.9637
闵	3	闭	0.9753
澀	1	綱	0.9524
蕎	1	惹	0.9673
鯖	1	鯨	0.9670
梢	0	稍	0.9847
泼	0	发	0.9677
滥	1	湿	0.9694
鈉	0	銀	0.9714
讼	0	訟	0.9562
昊	0	吴	0.9883
燦	0	隊	0.9665
葱	0	渤	0.9533
溴	0	漠	0.9698
灶	0	壮	0.9611
冴	0	汗	0.9696
拭	0	试	0.9690
繆	0	総	0.9595
棵	1	裸	0.9822
吒	0	託	0.9590
檸	1	標	0.9710
胰	0	膜	0.9662
莒	0	营	0.9721
睹	1	賭	0.9720
绸	0	網	0.9675
炯	0	洞	0.9676
臻	2	捧	0.9747
鵡	3	鳴	0.9671
艰	0	根	0.9775
奚	0	溪	0.9724
褲	1	禅	0.9636
乍	0	年	0.9636
蕨	0	款	0.9618
糯	0	釋	0.9791
邹	0	郭	0.9675
髭	0	浸	0.9571
聶	0	攝	0.9578
婢	2	姫	0.9771
碇	0	码	0.9747
軼	0	缺	0.9666
僭	0	僑	0.9638
浊	0	独	0.9769
燭	0	濁	0.9730
晷	1	葛	0.9633
鹦	0	響	0.9504
惰	0	隋	0.9746
苟	0	荀	0.9836
饲	0	词	0.9821
鷗	0	疆	0.9623
弩	0	澄	0.9641
槌	1	棉	0.9702
佣	2	畑	0.9643
嘎	1	噶	0.9657
捍	1	捐	0.9717
沮	0	狙	0.9637
盔	1	盗	0.9542
蛾	0	峨	0.9770
谣	0	淨	0.9692
醣	0	輌	0.9700
恕	0	窓	0.9675
沅	0	沉	0.9669
煕	0	熙	0.9941
埤	1	埋	0.9705
衫	0	杉	0.9601
宸	0	度	0.9731
謨	1	蘋	0.9713
攸	0	倣	0.9727
佚	0	侠	0.9728
塀	0	塘	0.9740
沦	0	论	0.9778
岔	0	盆	0.9742
凿	1	帯	0.9675
樱	0	機	0.9599
豎	0	暨	0.9659
逍	0	道	0.9811
闰	1	閏	0.9737
侈	0	多	0.9561
鵰	2	鵬	0.9587
雫	0	罕	0.9623
妍	0	妨	0.9708
挡	0	结	0.9654
旛	1	潘	0.9626
泵	0	尿	0.9683
涡	0	联	0.9696
秤	1	粹	0.9810
膛	0	膳	0.9779
垄	0	奎	0.9548
弈	0	穷	0.9595
锌	1	锦	0.9715
芷	1	苦	0.9615
撑	0	璋	0.9790
跪	0	跑	0.9678
沽	2	浩	0.9768
坟	1	攻	0.9703
祢	1	称	0.9812
衢	2	衛	0.9643
靂	0	露	0.9656
淇	0	湛	0.9818
鈣	1	鎮	0.9703
嫻	1	顆	0.9695
斃	1	駿	0.9583
桔	0	枯	0.9883
帐	0	帳	0.9676
枋	0	析	0.9821
渗	0	参	0.9666
硒	2	栖	0.9721
澜	0	润	0.9742
邇	0	通	0.9563
錘	0	鍾	0.9742
錶	1	錬	0.9785
锥	0	雄	0.9724
佗	1	化	0.9597
铃	0	録	0.9688
驕	0	騎	0.9666
伶	1	冷	0.9770
铎	0	锋	0.9825
耽	0	功	0.9624
侖	1	命	0.9729
庾	0	厥	0.9666
刮	0	制	0.9707
吗	0	喝	0.9619
哆	0	够	0.9451
撕	0	掛	0.9617
鞅	0	較	0.9636
洒	1	酒	0.9911
賺	0	謙	0.9674
羹	2	義	0.9354
茱	0	朱	0.9746
桧	2	検	0.9788
澱	0	殿	0.9749
爷	0	洛	0.9600
叹	0	収	0.9633
瘟	0	溫	0.9592
菇	0	娃	0.9726
肾	0	督	0.9795
崁	1	坎	0.9625
檻	0	檔	0.9812
熵	0	嫡	0.9674
鋁	2	錦	0.9791
肽	0	狀	0.9598
穹	0	學	0.9613
敛	0	敘	0.9723
娟	3	姫	0.9801
汴	0	尔	0.9708
匝	0	両	0.9632
唾	0	睡	0.9790
咳	0	刻	0.9747
挤	0	挟	0.9697
酥	1	柄	0.9682
喙	0	喉	0.9728
檳	2	積	0.9748
笈	1	笑	0.9750
掟	0	提	0.9749
柘	0	椿	0.9748
縞	3	締	0.9702
唤	0	喚	0.9824
泸	1	沪	0.9731
瞿	0	霍	0.9757
鬚	0	髪	0.9494
琥	0	墟	0.9701
猷	0	献	0.9725
痢	1	禄	0.9731
轍	0	構	0.9617
寰	1	製	0.9589
萝	0	夢	0.9589
謗	0	読	0.9616
